name,Total population_2017,Population under age 18_2017,Percent under age 18_2017,Population ages 65+_2017,Percent ages 65+_2017,Latino population_2017,Percent Latino_2017,White population_2017,Percent white_2017,Black population_2017,Percent black_2017,Other race population_2017,Percent other race_2017,Foreign-born population_2017,Percent foreign-born_2017,Total households_2017,Owner-occupied households_2017,Homeownership rate_2017,Cost-burdened households_2017,Cost-burden rate_2017,Poverty status known_2017,Population in poverty_2017,Poverty rate_2017,Low-income population_2017,Low-income rate_2017,"Under 18, poverty status known_2017",Children in poverty_2017,Child poverty rate_2017,Low-income children_2017,Child low-income rate_2017,"Ages 65+, poverty status known_2017",Seniors in poverty_2017,Senior poverty rate_2017,Low-income seniors_2017,Senior low-income rate_2017,Life expectancy_2010-2015,High blood pressure_2015,Coronary heart disease_2016,Current asthma_2016,Diabetes_2016,Annual checkup_2016,Dental visit_2016,Health insurance_2016,Current smoking_2016,Sleep <7 hours_2016
Connecticut,3594478,762732,0.212,575757,0.16,551916,0.154,2446049,0.681,350820,0.098,245693,0.068,511893,0.142,1361755,906798,0.666,487769,0.358,3486033,350783,0.101,802453,0.23,752655,101679,0.135,225715,0.3,554336,39530,0.071,123171,0.222,,,,,,,,,,
Fairfield County,947328,219635,0.232,140926,0.149,180379,0.19,595323,0.628,98931,0.104,72695,0.077,205984,0.217,337678,228666,0.677,133169,0.394,929135,81422,0.088,198133,0.213,216767,23525,0.109,57196,0.264,136072,9518,0.07,27430,0.202,,,,,,,,,,
Bridgeport,147586,34994,0.237,15757,0.107,57920,0.392,31603,0.214,48807,0.331,9256,0.063,43614,0.296,50341,21138,0.42,25615,0.509,142927,29721,0.208,65303,0.457,34430,10489,0.305,21851,0.635,15127,1981,0.131,5914,0.391,,0.302,0.057,0.104,0.113,0.696,0.61,0.169,0.186,0.402
Black Rock,9430,1710,0.181,1304,0.138,2076,0.22,4618,0.49,2250,0.239,486,0.052,2453,0.26,3979,1431,0.36,1704,0.428,9430,1348,0.143,2829,0.3,1710,351,0.205,900,0.526,1304,118,0.09,327,0.251,80.418,0.262,0.05,0.093,0.088,0.684,0.699,0.119,0.156,0.362
Brooklawn-St. Vincent,24896,5152,0.207,3051,0.123,8668,0.348,7773,0.312,6740,0.271,1715,0.069,8701,0.349,8759,3953,0.451,4383,0.5,23882,3740,0.157,8811,0.369,5131,1260,0.246,2821,0.55,2914,163,0.056,893,0.306,79.273,0.288,0.055,0.102,0.101,0.689,0.633,0.156,0.188,0.396
Downtown,2192,188,0.086,448,0.204,929,0.424,478,0.218,618,0.282,166,0.076,453,0.207,1189,54,0.045,525,0.442,1882,554,0.294,1156,0.614,177,28,0.158,118,0.667,437,126,0.288,389,0.89,73.4,0.339,0.072,0.107,0.138,0.708,0.569,0.166,0.191,0.407
East End,9147,2753,0.301,755,0.083,3792,0.415,454,0.05,4300,0.47,601,0.066,2079,0.227,2893,922,0.319,1589,0.549,9125,2014,0.221,5551,0.608,2753,686,0.249,2117,0.769,755,98,0.13,398,0.527,76.34,0.355,0.061,0.116,0.141,0.722,0.546,0.186,0.207,0.441
East Side,14130,4255,0.301,987,0.07,8497,0.601,462,0.033,4519,0.32,652,0.046,3203,0.227,4419,1035,0.234,2559,0.579,13976,4033,0.289,8248,0.59,4181,1544,0.369,2950,0.706,987,231,0.234,497,0.504,75.856,0.31,0.058,0.109,0.135,0.677,0.511,0.243,0.207,0.423
Enterprise,617,181,0.293,65,0.105,242,0.392,101,0.164,243,0.394,30,0.049,226,0.366,217,69,0.318,134,0.618,615,133,0.216,321,0.522,180,58,0.322,130,0.722,65,2,0.031,28,0.431,75.965,0.291,0.051,0.108,0.111,0.685,0.586,0.18,0.204,0.416
Hollow,9212,2634,0.286,408,0.044,4463,0.484,1497,0.163,2772,0.301,480,0.052,3148,0.342,2997,339,0.113,1739,0.58,9196,3774,0.41,6038,0.657,2619,1651,0.63,2243,0.856,409,98,0.24,128,0.313,75.838,0.3,0.058,0.114,0.125,0.658,0.475,0.251,0.243,0.434
Mill Hill,12537,2901,0.231,1655,0.132,5442,0.434,1662,0.133,4625,0.369,808,0.064,3493,0.279,4819,2195,0.455,2458,0.51,12137,2189,0.18,5525,0.455,2800,601,0.215,1678,0.599,1525,327,0.214,827,0.542,76.271,0.334,0.066,0.108,0.13,0.716,0.597,0.171,0.191,0.41
North End,23418,4549,0.194,3008,0.128,6724,0.287,9397,0.401,6197,0.265,1100,0.047,7647,0.327,7668,5507,0.718,3284,0.428,22027,2337,0.106,6048,0.275,4354,614,0.141,1733,0.398,2955,265,0.09,690,0.234,79.063,0.28,0.055,0.096,0.091,0.705,0.714,0.113,0.155,0.366
Reservoir-Whiskey Hill,9552,2386,0.25,977,0.102,2975,0.311,809,0.085,5036,0.527,731,0.077,2492,0.261,3042,2014,0.662,1461,0.48,9532,1246,0.131,3737,0.392,2366,417,0.176,1433,0.606,978,146,0.149,305,0.312,80.257,0.326,0.053,0.106,0.119,0.732,0.645,0.138,0.173,0.419
South End,4122,605,0.147,354,0.086,1289,0.313,1248,0.303,932,0.226,653,0.158,1227,0.298,1434,364,0.254,756,0.527,3377,1091,0.323,2265,0.671,595,208,0.35,469,0.788,345,84,0.243,204,0.591,79.095,0.237,0.041,0.101,0.09,0.662,0.574,0.157,0.178,0.404
Upper East Side,9932,2340,0.236,1333,0.134,4150,0.418,1731,0.174,3617,0.364,434,0.044,2786,0.281,3497,1785,0.51,1967,0.562,9578,1679,0.175,3897,0.407,2288,663,0.29,1177,0.514,1120,108,0.096,493,0.44,76.129,0.328,0.063,0.102,0.12,0.718,0.639,0.155,0.174,0.395
West End-West Side,18402,5340,0.29,1412,0.077,8672,0.471,1373,0.075,6959,0.378,1398,0.076,5707,0.31,5427,1470,0.271,3054,0.563,18169,5583,0.307,10877,0.599,5276,2410,0.457,4085,0.774,1333,214,0.161,733,0.55,75.563,0.309,0.056,0.11,0.125,0.683,0.527,0.216,0.213,0.43
