name,Total population_2017,Population under age 18_2017,Percent under age 18_2017,Population ages 65+_2017,Percent ages 65+_2017,Latino population_2017,Percent Latino_2017,White population_2017,Percent white_2017,Black population_2017,Percent black_2017,Other race population_2017,Percent other race_2017,Foreign-born population_2017,Percent foreign-born_2017,Total households_2017,Owner-occupied households_2017,Homeownership rate_2017,Cost-burdened households_2017,Cost-burden rate_2017,Poverty status known_2017,Population in poverty_2017,Poverty rate_2017,Low-income population_2017,Low-income rate_2017,"Under 18, poverty status known_2017",Children in poverty_2017,Child poverty rate_2017,Low-income children_2017,Child low-income rate_2017,"Ages 65+, poverty status known_2017",Seniors in poverty_2017,Senior poverty rate_2017,Low-income seniors_2017,Senior low-income rate_2017,Life expectancy_2010-2015,High blood pressure_2015,Coronary heart disease_2016,Current asthma_2016,Diabetes_2016,Annual checkup_2016,Dental visit_2016,Health insurance_2016,Current smoking_2016,Sleep <7 hours_2016
Connecticut,3594478,762732,0.212,575757,0.16,551916,0.154,2446049,0.681,350820,0.098,245693,0.068,511893,0.142,1361755,906798,0.666,487769,0.358,3486033,350783,0.101,802453,0.23,752655,101679,0.135,225715,0.3,554336,39530,0.071,123171,0.222,,,,,,,,,,
Hartford,124390,30396,0.244,12870,0.103,55086,0.443,18404,0.148,43870,0.353,7030,0.057,27154,0.218,45822,10904,0.238,23006,0.502,117628,35869,0.305,66750,0.567,30058,12286,0.409,22170,0.738,12394,2993,0.241,6547,0.528,,0.348,0.061,0.125,0.14,0.742,0.606,0.188,0.206,0.409
West Hartford,63360,14514,0.229,11228,0.177,6688,0.106,46363,0.732,3888,0.061,6421,0.101,10767,0.17,24470,17591,0.719,7283,0.298,61585,4626,0.075,10307,0.167,14293,1381,0.097,2798,0.196,10534,780,0.074,2015,0.191,,,,,,,,,,
Asylum Hill,10337,2138,0.207,1050,0.102,2766,0.268,1256,0.122,5100,0.493,1215,0.118,2801,0.271,5221,623,0.119,2332,0.447,10216,2738,0.268,5739,0.562,2119,760,0.359,1730,0.816,1047,223,0.213,649,0.62,79,0.338,0.05,0.122,0.123,0.755,0.645,0.149,0.193,0.419
Barry Square,15726,3757,0.239,1085,0.069,9175,0.583,2583,0.164,2911,0.185,1057,0.067,3826,0.243,4848,867,0.179,3021,0.623,13589,5043,0.371,9042,0.665,3653,1757,0.481,2871,0.786,1083,264,0.244,565,0.522,77.533,0.311,0.057,0.126,0.132,0.706,0.559,0.232,0.217,0.402
Behind the Rocks,8503,2318,0.273,837,0.098,5539,0.651,863,0.101,1699,0.2,402,0.047,1442,0.17,2846,792,0.278,1495,0.525,8396,2845,0.339,5149,0.613,2309,1128,0.489,1794,0.777,763,205,0.269,334,0.438,77.95,0.342,0.064,0.118,0.15,0.722,0.565,0.239,0.21,0.406
Blue Hills,10885,1896,0.174,1514,0.139,777,0.071,1986,0.182,7801,0.717,321,0.029,3009,0.276,3073,1836,0.597,1233,0.401,8227,1164,0.141,2991,0.364,1846,508,0.275,1115,0.604,1514,116,0.077,478,0.316,77.45,0.343,0.048,0.134,0.12,0.781,0.688,0.11,0.177,0.412
Clay Arsenal,7237,2693,0.372,521,0.072,4413,0.61,104,0.014,2589,0.358,131,0.018,677,0.094,2430,232,0.095,1336,0.55,7225,3203,0.443,5684,0.787,2681,1426,0.532,2407,0.898,521,192,0.369,376,0.722,74.9,0.385,0.071,0.139,0.176,0.746,0.499,0.247,0.249,0.444
Downtown,2108,76,0.036,221,0.105,252,0.12,1177,0.558,336,0.159,343,0.163,511,0.242,1519,211,0.139,514,0.338,2098,326,0.155,404,0.193,66,0,0,0,0,221,1,0.005,10,0.045,81.2,0.209,0.029,0.09,0.056,0.718,0.826,0.061,0.107,0.327
Frog Hollow,8766,2601,0.297,725,0.083,6011,0.686,747,0.085,1833,0.209,175,0.02,1264,0.144,3211,225,0.07,1665,0.519,8692,3441,0.396,5585,0.643,2576,1143,0.444,1964,0.762,725,308,0.425,564,0.778,75.767,0.331,0.068,0.125,0.152,0.704,0.509,0.275,0.233,0.412
Northeast,11020,3568,0.324,1018,0.092,2954,0.268,254,0.023,7630,0.692,182,0.017,1809,0.164,3875,925,0.239,2002,0.517,11020,3773,0.342,7054,0.64,3568,1643,0.46,2830,0.793,1018,245,0.241,524,0.515,75.475,0.439,0.07,0.15,0.18,0.785,0.536,0.19,0.248,0.464
Parkville,4746,1336,0.282,585,0.123,2817,0.594,730,0.154,986,0.208,213,0.045,1306,0.275,1680,319,0.19,1158,0.689,4706,2012,0.428,3626,0.771,1326,677,0.511,1156,0.872,558,167,0.299,455,0.815,73.7,0.342,0.072,0.126,0.154,0.712,0.527,0.248,0.238,0.417
Sheldon Charter Oak,3180,703,0.221,444,0.14,1528,0.481,411,0.129,704,0.221,537,0.169,657,0.207,1421,74,0.052,565,0.398,3172,1059,0.334,1994,0.629,697,209,0.3,559,0.802,444,200,0.45,324,0.73,76.65,0.352,0.067,0.117,0.146,0.733,0.584,0.2,0.206,0.403
