name,Total population_2017,Population under age 18_2017,Percent under age 18_2017,Population ages 65+_2017,Percent ages 65+_2017,Latino population_2017,Percent Latino_2017,White population_2017,Percent white_2017,Black population_2017,Percent black_2017,Other race population_2017,Percent other race_2017,Foreign-born population_2017,Percent foreign-born_2017,Total households_2017,Owner-occupied households_2017,Homeownership rate_2017,Cost-burdened households_2017,Cost-burden rate_2017,Poverty status known_2017,Population in poverty_2017,Poverty rate_2017,Low-income population_2017,Low-income rate_2017,"Under 18, poverty status known_2017",Children in poverty_2017,Child poverty rate_2017,Low-income children_2017,Child low-income rate_2017,"Ages 65+, poverty status known_2017",Seniors in poverty_2017,Senior poverty rate_2017,Low-income seniors_2017,Senior low-income rate_2017,Life expectancy_2010-2015,High blood pressure_2015,Coronary heart disease_2016,Current asthma_2016,Diabetes_2016,Annual checkup_2016,Dental visit_2016,Health insurance_2016,Current smoking_2016,Sleep <7 hours_2016
Connecticut,3594478,762732,0.212,575757,0.16,551916,0.154,2446049,0.681,350820,0.098,245693,0.068,511893,0.142,1361755,906798,0.666,487769,0.358,3486033,350783,0.101,802453,0.23,752655,101679,0.135,225715,0.3,554336,39530,0.071,123171,0.222,,,,,,,,,,
Greater New Haven,465633,93991,0.202,74822,0.161,71238,0.153,289031,0.621,71398,0.153,33966,0.073,58847,0.126,176605,106429,0.603,72217,0.409,446916,53546,0.12,116457,0.261,93138,14889,0.16,31709,0.34,72489,5459,0.075,17562,0.242,,,,,,,,,,
New Haven,130884,28955,0.221,13683,0.105,39790,0.304,39705,0.303,41287,0.315,10102,0.077,21448,0.164,49987,13913,0.278,25758,0.515,122320,31338,0.256,58932,0.482,28672,9647,0.336,17874,0.623,13136,1935,0.147,5297,0.403,,0.307,0.048,0.112,0.103,0.717,0.663,0.139,0.186,0.405
Amity,5092,1446,0.284,442,0.087,810,0.159,1156,0.227,2642,0.519,484,0.095,360,0.071,1780,819,0.46,748,0.42,5092,1526,0.3,2377,0.467,1446,618,0.427,881,0.609,442,123,0.278,226,0.511,77,0.356,0.051,0.123,0.119,0.757,0.663,0.121,0.196,0.431
Annex,7280,2031,0.279,706,0.097,3768,0.518,1940,0.266,1289,0.177,283,0.039,1584,0.218,2421,909,0.375,1212,0.501,7217,1322,0.183,2904,0.402,1968,507,0.258,1116,0.567,706,87,0.123,227,0.322,80.4,0.296,0.047,0.105,0.096,0.702,0.666,0.156,0.194,0.405
Beaver Hills,5118,1468,0.287,611,0.119,924,0.181,840,0.164,3028,0.592,326,0.064,617,0.134,1926,851,0.442,854,0.504,5118,689,0.135,2066,0.404,1278,102,0.08,582,0.455,558,45,0.081,89,0.159,75.4,0.363,0.045,0.119,0.11,0.762,0.693,0.109,0.181,0.427
Dixwell,5006,1052,0.21,574,0.115,733,0.146,814,0.163,3216,0.642,243,0.049,469,0.094,1826,278,0.152,1026,0.562,4195,1276,0.304,2321,0.553,1044,466,0.446,814,0.78,565,69,0.122,263,0.465,73.2,0.392,0.058,0.126,0.145,0.744,0.561,0.165,0.24,0.462
Downtown,11102,312,0.028,608,0.055,1368,0.123,6136,0.553,1164,0.105,2434,0.219,2524,0.226,4420,404,0.091,2066,0.467,6985,1740,0.249,2642,0.378,282,116,0.411,127,0.45,593,33,0.056,181,0.305,79.176,0.154,0.018,0.095,0.037,0.663,0.77,0.077,0.129,0.356
Dwight,3735,607,0.163,316,0.085,870,0.233,943,0.252,1487,0.398,435,0.116,598,0.16,1826,202,0.111,1010,0.553,3735,1495,0.4,2501,0.67,607,251,0.414,498,0.82,316,52,0.165,166,0.525,78,0.311,0.042,0.12,0.107,0.702,0.588,0.148,0.222,0.434
East Rock,8544,1171,0.137,798,0.093,937,0.11,5443,0.637,768,0.09,1396,0.163,2553,0.292,3743,968,0.259,1516,0.4,8523,1338,0.157,2718,0.319,1217,184,0.151,451,0.371,798,44,0.055,169,0.212,82.835,0.207,0.029,0.091,0.057,0.684,0.785,0.081,0.124,0.347
